ProjectID,Date,Origin,Destination,Modo,Gender,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94
42,2019-11-14,0:500,45:319,private_transport,M,,,,,,,177.0,,,,,,,,,,
42,2019-11-14,0:500,62:307,private_transport,M,,,,11.0,,,,,,,,,,,,,
42,2019-11-14,0:500,77:312,private_transport,M,,,,,,,17.0,,,,,,,,,,
42,2019-11-14,100:206,100:206,bus,M,,,,,16.0,,,,,,,,,,,,
42,2019-11-14,100:206,100:206,private_transport,F,,,,,,,,,,13.0,,,,,,,
42,2019-11-14,100:206,107:207,bus,M,,,15.0,,,,,,,,,,,,,,
42,2019-11-14,100:206,109:169,bus,M,,,,,,,,15.0,,,,,,,,,
42,2019-11-14,100:206,109:169,private_transport,M,,,,,,,,12.0,,,,,,,,,
42,2019-11-14,100:206,128:142,bus,M,,,17.0,,12.0,,,,,,,,,,,,
42,2019-11-14,100:206,128:142,private_transport,F,,,,,,,,,,13.0,,,,,,,
42,2019-11-14,100:206,128:142,private_transport,M,,,11.0,,,,,,,,,,,,,,
42,2019-11-14,100:206,143:143,bus,F,,,,,,,,,,12.0,,,,,,,
42,2019-11-14,100:206,143:143,bus,M,,,,,17.0,,,,,,,,,,,,
42,2019-11-14,100:206,159:127,private_transport,M,,,,34.0,,,,,,,,,,,,,
42,2019-11-14,100:206,47:320,bus,F,,,,,,14.0,,,,,,,,,,,
42,2019-11-14,100:206,47:320,private_transport,F,,,,,,22.0,,,,,,,,,,,
42,2019-11-14,100:206,48:301,bus,M,,,,36.0,,,,,,,,,,,,,
42,2019-11-14,100:206,48:301,private_transport,M,,,,20.0,,36.0,,,,53.0,,,,,,,
42,2019-11-14,100:206,54:419,private_transport,F,,,,,,50.0,,,,,,,,,,,
42,2019-11-14,100:206,61:413,private_transport,F,,,,56.0,,,,,,,,,,,,,
42,2019-11-14,100:206,61:413,private_transport,M,,,,,,19.0,,,,,,,,,,,
42,2019-11-14,100:206,76:314,private_transport,F,,,,,,13.0,,,,,,,,,,,
42,2019-11-14,100:206,83:108,bus,M,,,23.0,,,,,13.0,,,,,,,,,
42,2019-11-14,100:206,83:108,private_transport,M,,,12.0,,,,,,,,,,,,,,
42,2019-11-14,100:206,98:217,bus,M,,,12.0,,,,,15.0,,,,,,,,,
42,2019-11-14,100:206,98:217,private_transport,M,,,,,,,,11.0,,,,,,,,,
42,2019-11-14,101:205,45:319,bus,F,,,,,,,,,30.0,,,,,,,,
