ProjectID,Date,Origin,Destination,Modo,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1900_1959
40,2020-03-03,104:202,122:164,bus,,15.0,,,,,,,,,,,,
40,2020-03-03,104:202,122:164,private_transport,,18.0,,,,,,,,,,,,
40,2020-03-03,104:202,93:114,bus,,10.0,,,,,,,,,,,,
40,2020-03-03,104:202,93:114,private_transport,,11.0,,,,,,,,,,,,
40,2020-03-03,104:202,97:102,bus,,12.0,,,,,,,,,,,,
40,2020-03-03,104:202,97:102,private_transport,,14.0,,,,,,,,,,,,
40,2020-03-03,109:169,109:169,bus,,,,,,,,,14.0,,,,,
40,2020-03-03,109:169,109:169,private_transport,,,,,,,,,10.0,,,,,
40,2020-03-03,109:169,83:108,bus,,,,,,,,,12.0,,,,,
40,2020-03-03,110:168,122:164,bus,,19.0,,,,,,,,,,,,
40,2020-03-03,110:168,122:164,private_transport,,23.0,,,,,,,,,,,,
40,2020-03-03,110:168,97:102,bus,,13.0,,,,,,,,,,,,
40,2020-03-03,110:168,97:102,private_transport,,16.0,,,,,,,,,,,,
40,2020-03-03,110:168,123:163,bus,,11.0,,,,,,,,,,,,
40,2020-03-03,110:168,123:163,private_transport,,11.0,,,,,,,,,,,,
40,2020-03-03,110:168,127:159,bus,,10.0,,,,,,,,,,,,
40,2020-03-03,110:168,127:159,private_transport,,12.0,,,,,,,,,,,,
40,2020-03-03,111:167,140:146,bus,,,,,,,10.0,,,,,,,
40,2020-03-03,111:167,141:145,bus,,,,,,,17.0,,,,,,,
40,2020-03-03,111:167,84:107,bus,,,13.0,,,,,,,,,,,
40,2020-03-03,111:167,85:106,bus,,,24.0,,,,,,,,,,,
40,2020-03-03,111:167,85:106,private_transport,,,15.0,,,,,,,,,,,
40,2020-03-03,111:167,86:105,bus,,,52.0,,,,,,,,,,,
40,2020-03-03,111:167,86:105,private_transport,,,26.0,,,,,,,,,,,
40,2020-03-03,111:167,87:104,bus,,,35.0,,,,,,,,,,,
40,2020-03-03,111:167,87:104,private_transport,,,12.0,,,,,,,,,,,
40,2020-03-03,121:165,140:146,bus,,,,,,,21.0,29.0,,,,,,
40,2020-03-03,121:165,140:146,private_transport,,,,,,,,19.0,,,,,,
40,2020-03-03,121:165,141:145,bus,,,,,,,20.0,32.0,,,,,,
40,2020-03-03,121:165,141:145,private_transport,,,,,,,13.0,19.0,,,,,,
40,2020-03-03,121:165,84:107,bus,,,,,12.0,,,,,,,,,
40,2020-03-03,121:165,84:107,private_transport,,,,,13.0,,,,,,,,,
40,2020-03-03,121:165,86:105,bus,,,,,12.0,,,,,,,,,
40,2020-03-03,121:165,86:105,private_transport,,,,,13.0,,,,,,,,,
40,2020-03-03,121:165,111:167,bus,,,,,,,,,,,,11.0,,
40,2020-03-03,121:165,118:152,private_transport,,,,,,,,,,,,,11.0,
40,2020-03-03,121:165,119:151,private_transport,,,,,,,,,,,,,15.0,
40,2020-03-03,121:165,121:165,bus,,,,,20.0,,,,,,,,,
40,2020-03-03,121:165,121:165,private_transport,,,,,22.0,,,,,,,,,
40,2020-03-03,121:165,126:160,bus,,,27.0,,,,,,35.0,,,,,
40,2020-03-03,121:165,126:160,private_transport,,,23.0,,,,,,17.0,,,,,
40,2020-03-03,121:165,136:150,bus,,,,,,,,,,,,,13.0,
40,2020-03-03,121:165,136:150,private_transport,,,,,,,,,,,,,16.0,
40,2020-03-03,121:165,137:149,private_transport,,,,,10.0,,,,,,,,,
40,2020-03-03,121:165,139:147,bus,,,,,,,13.0,,,,,,,
40,2020-03-03,121:165,139:147,private_transport,,,,,,,10.0,,,,,,,
40,2020-03-03,121:165,148:122,bus,,,,,,,,,,,,25.0,,
40,2020-03-03,121:165,159:127,bus,,,,,,,,,,,,,25.0,
40,2020-03-03,121:165,159:127,private_transport,,,,,,,,,,,,,18.0,
40,2020-03-03,121:165,90:117,bus,,,,,,,,,18.0,,,,,
40,2020-03-03,121:165,90:117,private_transport,,,,,,,,,12.0,,,,,
40,2020-03-03,122:164,121:165,bus,,,,,,,,,,,,,12.0,
40,2020-03-03,122:164,121:165,private_transport,,,,,,,,,,,,,10.0,
40,2020-03-03,126:160,122:164,bus,,,,,,,,22.0,,,,,,
40,2020-03-03,126:160,122:164,private_transport,,,,,,,,10.0,,,,,,
40,2020-03-03,126:160,97:102,bus,,,,,,,,12.0,,,,,,
40,2020-03-03,126:160,123:163,bus,,,,,,,,10.0,,,,,,
40,2020-03-03,126:160,127:159,bus,,,,,,,,19.0,,,,,,
40,2020-03-03,126:160,127:159,private_transport,,,,,,,,15.0,,,,,,
40,2020-03-03,126:160,90:117,bus,,,,,,,,,11.0,,,,,
40,2020-03-03,126:160,50:412,private_transport,,,,,,,,,,,38.0,,,
40,2020-03-03,127:159,50:412,private_transport,,,,,,,,,,,16.0,,,
40,2020-03-03,128:142,109:169,bus,,,,,,,,,12.0,,,,,
40,2020-03-03,128:142,98:217,bus,,,,,,,,,13.0,,,,,
40,2020-03-03,129:141,154:132,bus,,,,,,,,,,18.0,,,,
40,2020-03-03,130:140,154:132,bus,,,,,,,,,,22.0,,,,
40,2020-03-03,130:140,154:132,private_transport,,,,,,,,,,11.0,,,,
40,2020-03-03,130:140,129:141,bus,,,,,,,,,,13.0,,,,
40,2020-03-03,130:140,129:141,private_transport,,,,,,,,,,11.0,,,,
40,2020-03-03,130:140,130:140,bus,,,,,,,,,,10.0,,,,
40,2020-03-03,134:136,90:117,bus,11.0,,,,,,,,,,,,,
40,2020-03-03,135:135,126:160,bus,36.0,,,,,,,,,,,,,
40,2020-03-03,135:135,126:160,private_transport,17.0,,,,,,,,,,,,,
40,2020-03-03,137:149,159:127,bus,,,,,,,,,,,,,11.0,
40,2020-03-03,137:149,159:127,private_transport,,,,,,,,,,,,,10.0,
40,2020-03-03,139:147,87:104,bus,,,,11.0,,,,,,,,,,
40,2020-03-03,140:146,87:104,bus,,,,18.0,,,,,,,,,,
40,2020-03-03,140:146,144:126,bus,,,,10.0,,,,,,,,,,
40,2020-03-03,140:146,91:116,private_transport,,,,12.0,,,,,,,,,,
40,2020-03-03,141:145,87:104,bus,,,,35.0,,,,,,,,,,
40,2020-03-03,141:145,87:104,private_transport,,,,21.0,,,,,,,,,,
40,2020-03-03,141:145,91:116,private_transport,,,,11.0,,,,,,,,,,
40,2020-03-03,141:145,92:115,bus,,,,12.0,,,,,,,,,,
40,2020-03-03,150:120,84:107,bus,,,,,,,,,,,,,24.0,
40,2020-03-03,150:120,121:165,bus,,,,,,,,,,,,,41.0,
40,2020-03-03,150:120,121:165,private_transport,,,,,,,,,,,,,23.0,
40,2020-03-03,150:120,137:149,private_transport,,,,,,,,,,,,,12.0,
40,2020-03-03,152:134,132:138,bus,,,,,,,,,,,14.0,,,
40,2020-03-03,152:134,95:112,bus,,,,,,,,,,,26.0,,,
40,2020-03-03,153:133,113:157,bus,,,,,,,,,,,12.0,,,
40,2020-03-03,153:133,113:157,private_transport,,,,,,,,,,,10.0,,,
40,2020-03-03,154:132,95:112,bus,,,,,,,,,,,11.0,,,
40,2020-03-03,157:129,140:146,private_transport,,,,,,,13.0,,,,,,,
40,2020-03-03,157:129,111:167,bus,,,,,,21.0,,,,,,,,
40,2020-03-03,157:129,111:167,private_transport,,,,,,10.0,,,,,,,,
40,2020-03-03,157:129,121:165,bus,,,,,,22.0,,,,,,,,
40,2020-03-03,157:129,121:165,private_transport,,,,,,12.0,,,,,,,,
40,2020-03-03,157:129,139:147,bus,,,,,,,11.0,,,,,,,
40,2020-03-03,157:129,157:129,bus,,,,,,27.0,,,,,,,,
40,2020-03-03,157:129,157:129,private_transport,,,,,,12.0,,,,,,,,
40,2020-03-03,157:129,158:128,bus,,,,,,10.0,,,,,,,,
40,2020-03-03,158:128,84:107,bus,,,,,,,,,,,,11.0,,
40,2020-03-03,158:128,86:105,bus,,,,,,,,,,,,,10.0,
40,2020-03-03,158:128,86:105,private_transport,,,,,,,,,,,,,11.0,
40,2020-03-03,158:128,111:167,private_transport,,,,,,,,,,,,,,11.0
40,2020-03-03,158:128,121:165,bus,,,,,,14.0,,,,,,,,
40,2020-03-03,158:128,148:122,bus,,,,,,,,,,,,,,10.0
40,2020-03-03,158:128,148:122,private_transport,,,,,,,,,,,,,,17.0
40,2020-03-03,158:128,157:129,bus,,,,,,14.0,,,,,,,,
40,2020-03-03,158:128,158:128,bus,,,,,,,,,,,,14.0,,
40,2020-03-03,61:413,140:146,bus,,11.0,,,,,,,,,,,,
40,2020-03-03,61:413,141:145,bus,,40.0,,,,,,,,,,,,
40,2020-03-03,61:413,141:145,private_transport,,17.0,,,,,,,,,,,,
40,2020-03-03,61:413,136:150,bus,,12.0,,,,,,,,,,,,
40,2020-03-03,61:413,120:166,bus,,58.0,,,,,,,,,,,,
40,2020-03-03,61:413,120:166,private_transport,,11.0,,,,,,,,,,,,
40,2020-03-03,64:306,84:107,private_transport,,,,,,,,57.0,,,,,,
40,2020-03-03,64:306,85:106,private_transport,,,,,,,,54.0,,,,,,
40,2020-03-03,64:306,87:104,private_transport,,,,,,,,10.0,,,,,,
40,2020-03-03,64:306,158:128,private_transport,,,,,,,,38.0,,,,,,
40,2020-03-03,64:306,103:203,bus,,,,,,,,,,,,,51.0,
40,2020-03-03,64:306,103:203,private_transport,,,,,,,,,,,,,55.0,
40,2020-03-03,64:306,131:139,bus,,,,,,,,,,,,,10.0,
40,2020-03-03,64:306,131:139,private_transport,,,,,,,,,,,,,24.0,
40,2020-03-03,64:306,58:303,private_transport,,,,,,,,,,,,,31.0,
40,2020-03-03,64:306,64:306,private_transport,,,,,,,,,,,,167.0,,
40,2020-03-03,83:108,83:108,bus,,,,,,,,,11.0,12.0,,,,
40,2020-03-03,83:108,83:108,private_transport,,,,,,,,,,11.0,,,,
40,2020-03-03,83:108,98:217,bus,,,,,,,,,11.0,,,,,
40,2020-03-03,83:108,98:217,private_transport,,,,,,,,,10.0,,,,,
40,2020-03-03,83:108,154:132,bus,,,,,,,,,,10.0,,,,
40,2020-03-03,83:108,130:140,bus,,,,,,,,,,14.0,,,,
40,2020-03-03,83:108,130:140,private_transport,,,,,,,,,,11.0,,,,
40,2020-03-03,83:108,153:133,bus,,,,,,,,,,16.0,,,,
40,2020-03-03,83:108,153:133,private_transport,,,,,,,,,,12.0,,,,
40,2020-03-03,84:107,140:146,bus,,,,,,,,18.0,,,,,,
40,2020-03-03,84:107,141:145,bus,,,,,,,,13.0,,,,,,
40,2020-03-03,84:107,84:107,bus,,,,,,,,,,,,26.0,,
