ProjectID,Date,Origin,Destination,Modo,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1200_1259,1500_1559,1600_1659,1700_1759,2100_2159
40,2020-03-05,100:206,100:206,bus,,,,11.0,,,,,,,
40,2020-03-05,100:206,100:206,private_transport,,,,17.0,,,,,,,
40,2020-03-05,100:206,107:207,bus,,,,11.0,,,,,,,
40,2020-03-05,100:206,108:170,bus,,,,,,,,,,31.0,
40,2020-03-05,100:206,128:142,private_transport,,,,11.0,,,,,,,
40,2020-03-05,100:206,143:143,bus,,,,11.0,,,,,,,
40,2020-03-05,100:206,143:143,private_transport,,,,10.0,,,,,,,
40,2020-03-05,100:206,151:119,bus,,,,,,,,,,13.0,
40,2020-03-05,100:206,152:134,bus,,,,,,,,,,17.0,
40,2020-03-05,100:206,154:132,bus,,,,,,,,,,12.0,
40,2020-03-05,101:205,108:170,bus,,,,,,,,,,12.0,
40,2020-03-05,103:203,110:168,bus,,,,,,,,31.0,,,
40,2020-03-05,103:203,110:168,private_transport,,,,,,,,16.0,,,
40,2020-03-05,103:203,98:217,bus,,,,,,,,12.0,,,
40,2020-03-05,107:207,108:170,bus,,,,,,,,,,13.0,
40,2020-03-05,107:207,128:142,private_transport,,,,,,,,10.0,,,
40,2020-03-05,107:207,98:217,private_transport,,,,,,,,12.0,,,
40,2020-03-05,107:207,109:169,bus,,,,,,,,10.0,,,
40,2020-03-05,107:207,83:108,bus,,,,,,,,12.0,,,
40,2020-03-05,109:169,106:208,bus,,,10.0,,,,,,,,
40,2020-03-05,109:169,106:208,private_transport,,,10.0,,,,,,,,
40,2020-03-05,109:169,112:158,bus,,,10.0,,,,,,,,
40,2020-03-05,113:157,122:164,private_transport,,,,,,,,14.0,,,
40,2020-03-05,114:156,98:217,bus,,,,,,,,,,,12.0
40,2020-03-05,114:156,98:217,private_transport,,,,,,,,,,,16.0
40,2020-03-05,114:156,112:158,private_transport,,,,,,,,,,,10.0
